lat,lon,nodes,distance
1.34226,103.83515,"[5158041614, 4954246721]",2.615514
1.34258,103.83561,"[1713291236, 1713291233]",1.112911
1.34263,103.83562,"[1713291236, 1713291233]",0.222582
1.34263,103.83562,"[1713291236, 1713291233]",0.222582
1.34305,103.83564,"[3987278466, 1713291250]",0.786845
1.34346,103.8356,"[563630489, 1628371993]",0.313758
1.34352,103.83557,"[4954224551, 563630491]",0.994128
1.34389,103.83533,"[563630508, 563630510]",0.248532
1.34414,103.83513,"[4954224526, 563630497]",0.555156
1.34436,103.83494,"[563630501, 563630503]",0.400465
1.34444,103.83491,"[563630503, 563630505]",0.45869
1.34451,103.8349,"[5158074554, 5158074556]",0.497064
1.34451,103.8349,"[5158074554, 5158074556]",0.497064
1.34459,103.83489,"[5158074555, 563630518]",0.676839
1.34476,103.83494,"[563630522, 563630520]",0.994128
1.34491,103.83503,"[5158074557, 563630522]",0.400465
1.34493,103.83506,"[563630524, 5158074557]",0.247562
1.34503,103.83523,"[563630527, 563630526]",0.645835
1.34515,103.83553,"[563630532, 563630531]",1.19193
1.34527,103.83594,"[563630537, 563630534]",4.481167
1.34546,103.83637,"[4688127132, 563630548]",1.134669
1.34547,103.83639,"[4688127132, 563630548]",0.676839
1.34547,103.83639,"[4688127132, 563630548]",0.676839
1.34556,103.83653,"[563630550, 5158074584]",8.613063
1.34568,103.83661,"[2689392830, 5158074558]",4.164524
1.34575,103.83664,"[2689392830, 5158074558]",11.148583
1.34576,103.83659,"[3957870805, 563630553]",10.79268
1.34576,103.83659,"[3957870805, 563630553]",10.79268
1.34578,103.83652,"[3957870805, 563630553]",3.942133
1.34582,103.83648,"[5158074585, 3957870805]",1.75597
1.34592,103.83634,"[563630643, 563630638]",1.933019
1.34603,103.83596,"[563630648, 563630643]",1.154988
1.34609,103.83586,"[563630606, 563630648]",0.945456
1.34609,103.83586,"[563630606, 563630648]",0.945456
1.34639,103.83537,"[563630612, 563630617]",0.156879
1.34657,103.83516,"[563630619, 563630622]",0.865882
1.34671,103.83501,"[563630622, 563630626]",1.022215
1.34691,103.83487,"[563630630, 563630632]",0.156879
1.34706,103.8348,"[563630632, 563630636]",0.0
1.34712,103.83477,"[563630632, 563630636]",0.351705
1.34717,103.83474,"[563630636, 563630649]",1.022215
1.34725,103.83467,"[563630649, 563630650]",3.288088
1.3475,103.83432,"[563630562, 563630565]",3.886095
1.34776,103.83406,"[563630571, 563630572]",0.784394
1.34804,103.83368,"[563630579, 563630581]",4.122791
1.34829,103.83343,"[563630590, 563630591]",4.165475
1.34848,103.83324,"[563630597, 563630653]",0.800931
1.34862,103.83315,"[563630653, 563630657]",0.0
1.34898,103.83294,"[563630662, 563630664]",0.248532
1.34922,103.83278,"[563630668, 563630664]",1.57763
1.3493,103.83268,"[563630671, 563630670]",2.674994
1.34933,103.83258,"[563630680, 563630671]",1.504739
1.3494,103.83233,"[563630680, 563630671]",0.0
1.34952,103.83207,"[563630681, 563630680]",2.228054
1.34962,103.83192,"[563630684, 563630683]",1.295639
1.34972,103.83184,"[563630470, 563630684]",0.156879
1.35028,103.83146,"[661041698, 563630482]",1.023223
1.35076,103.83108,"[3987211520, 563630486]",0.955252
1.35121,103.83074,"[563630488, 3987211520]",0.627509
1.3514,103.83057,"[563630711, 563630710]",1.10828
1.35176,103.82995,"[5158074581, 563630714]",3.394107
1.35176,103.82987,"[563630715, 5158074581]",6.85345
1.35166,103.8298,"[5158074579, 5158074580]",5.947802
1.35141,103.82978,"[563630475, 5158074579]",5.346441
1.35132,103.82979,"[563630475, 5158074579]",3.896679
1.35111,103.82979,"[563630476, 563630475]",3.116088
1.35087,103.82972,"[563630479, 563630480]",5.334822
1.35076,103.82966,"[5158074567, 563630479]",4.344978
1.35068,103.82958,"[563630471, 5158074566]",3.713409
1.35063,103.82951,"[563630472, 563630471]",1.583546
1.3506,103.8294,"[563630473, 563630472]",0.110568
1.35063,103.82917,"[563630477, 5158074569]",0.79892
1.35069,103.82909,"[5158074568, 563630477]",2.046445
1.35119,103.82891,"[563630701, 563630468]",0.846701
1.35183,103.82878,"[3205822995, 563630704]",1.484294
1.35215,103.82869,"[563630706, 5158074570]",1.733781
1.35226,103.82857,"[3205822998, 563630706]",2.243147
1.35231,103.82844,"[3205823000, 3205822998]",0.156877
1.35255,103.82806,"[563630707, 3205823000]",0.865875
1.35271,103.82788,"[563630707, 3205823000]",1.888036
1.35292,103.82767,"[3205823004, 563630707]",4.551125
1.35324,103.82728,"[563630708, 5158074571]",3.517747
1.35328,103.8272,"[2689392839, 563630708]",5.129767
1.35328,103.82707,"[5694893945, 2689392839]",4.67707
1.35319,103.82654,"[2689392837, 563630709]",3.49875
1.35316,103.82642,"[2689392837, 563630709]",4.615822
1.35316,103.82642,"[2689392837, 563630709]",4.615822
1.35308,103.82628,"[563630709, 3205823003]",5.684585
1.35298,103.82617,"[3205823003, 563630685]",1.090142
1.35293,103.82607,"[563630685, 563630686]",0.349875
1.35292,103.8259,"[563630685, 563630686]",2.495327
1.35282,103.82547,"[563630686, 563630687]",1.475647
1.35277,103.8253,"[563630687, 563630688]",2.574851
1.35265,103.82505,"[563630688, 563630689]",2.925793
1.35254,103.8249,"[563630688, 563630689]",0.0
1.35251,103.82481,"[563630689, 563630690]",0.891517
1.35248,103.82452,"[563630690, 563630691]",3.678579
1.35242,103.82438,"[563630690, 563630691]",3.226581
1.35238,103.82422,"[563630691, 563630692]",3.839176
1.35234,103.8241,"[563630691, 563630692]",2.147436
1.3523,103.8237,"[563630693, 563630694]",3.059098
1.35225,103.82351,"[563630693, 563630694]",2.603227
1.35219,103.8233,"[563630694, 563630695]",0.110568
1.35218,103.82309,"[563630695, 563630696]",2.711343
1.3521,103.82272,"[563630695, 563630696]",2.951295
1.35196,103.82225,"[3205822996, 563630697]",0.672677
1.35194,103.82209,"[3205822996, 563630697]",0.891517
1.35192,103.82172,"[563630697, 563630698]",0.552839
1.35194,103.82157,"[563630697, 563630698]",1.551946
1.35198,103.82143,"[563630698, 563630699]",2.032946
1.35207,103.82129,"[563630698, 563630699]",2.73577
1.35215,103.82113,"[5158074573, 5158074572]",3.299745
1.35216,103.82093,"[5158074572, 3205822997]",3.64874
1.35217,103.82078,"[5158074578, 563630363]",0.39946
1.35224,103.82073,"[5158074577, 3205822999]",0.351699
1.35234,103.82071,"[3205822999, 5158074574]",1.224177
1.35244,103.82071,"[3205822999, 5158074574]",1.335466
1.35263,103.82073,"[5158074574, 3205823001]",1.895139
1.35279,103.82066,"[5158074575, 2689392833]",3.821009
1.35288,103.82052,"[2689392833, 563630366]",6.412884
1.35289,103.82028,"[563630366, 563630367]",6.648992
1.35284,103.82001,"[3205823002, 563630368]",0.221136
1.35291,103.81984,"[563630368, 2689392835]",0.110568
1.35304,103.8197,"[2689392835, 563630369]",0.627509
1.35325,103.81956,"[563630369, 563630370]",2.132395
1.35356,103.81936,"[563630371, 563630372]",0.710798
1.35383,103.81911,"[563630372, 563630373]",3.119918
1.35389,103.81901,"[563630373, 563630374]",4.012478
1.35395,103.81881,"[563630373, 563630374]",0.742682
1.35406,103.81852,"[563630375, 563630405]",0.709785
1.35413,103.81842,"[563630375, 563630405]",2.589153
1.35419,103.81836,"[563630405, 563630406]",2.243147
1.35441,103.81831,"[563630405, 563630406]",2.48798
1.35486,103.8183,"[563630407, 563630408]",3.118049
1.35486,103.8183,"[563630407, 563630408]",3.118049
1.35549,103.8183,"[563630409, 563630410]",2.901948
1.35639,103.81833,"[563630412, 563630413]",1.112889
1.35707,103.81833,"[1600984848, 661034422]",2.039399
1.35703,103.81813,"[1600984848, 1600984840]",4.41849
1.35695,103.8179,"[1600984840, 1600984835]",2.736351
1.35693,103.81779,"[1600984835, 1600984839]",1.882946
1.35694,103.8177,"[1600984835, 1600984839]",2.222531
1.35696,103.81755,"[1600984839, 1600984841]",2.127154
1.35697,103.8174,"[1600984841, 11297540450]",0.672677
1.35704,103.81722,"[3337259778, 2689611943]",3.044253
1.35713,103.817,"[2689611943, 1600984855]",2.180284
1.3572,103.81688,"[1600984855, 11297575028]",0.313754
1.35727,103.81679,"[2689611948, 2689611950]",0.39946
1.35723,103.81665,"[5159344238, 1125498857]",2.196281
1.35711,103.81655,"[1125498857, 1125498317]",2.687437
1.35692,103.81646,"[1125498317, 563630392]",2.030477
1.35675,103.81646,"[563630392, 3378983877]",0.351699
1.35665,103.81649,"[563630394, 563630396]",1.30162
1.3565,103.81655,"[563630398, 563630399]",0.745584
1.35623,103.81658,"[563630402, 563630403]",0.351699
1.35609,103.81655,"[563630403, 563630377]",0.351699
1.35609,103.81655,"[563630403, 563630377]",0.351699
1.35596,103.8165,"[563630379, 563630381]",0.156877
1.3559,103.81643,"[563630381, 563630382]",1.04501
1.35586,103.81632,"[563630382, 563630383]",2.694404
1.35585,103.81626,"[563630383, 563630384]",2.435038
1.35586,103.81612,"[563630384, 563630385]",2.876918
1.3559,103.81594,"[563630385, 563630387]",3.927061
1.35595,103.81559,"[563630389, 563630390]",4.980531
1.35592,103.81536,"[563630391, 563630351]",4.837061
1.35586,103.81512,"[563630351, 563630352]",4.514209
1.35581,103.81499,"[563630352, 563630356]",3.720426
1.35567,103.81466,"[563630352, 563630356]",3.822534
1.35533,103.81383,"[563630340, 563630342]",2.979817
1.35527,103.81361,"[563630342, 563630344]",4.104526
1.35521,103.81332,"[563630344, 563630346]",3.01834
1.3552,103.81312,"[563630346, 563630349]",1.111265
1.35522,103.81295,"[563630349, 563630350]",1.892786
1.35527,103.81241,"[563630311, 563630312]",1.345354
1.35531,103.8122,"[563630311, 563630312]",1.909075
1.35537,103.81211,"[563630313, 2689622632]",1.739695
1.3554,103.81209,"[563630313, 2689622632]",1.242639
1.35563,103.81203,"[563630327, 563630325]",0.890311
1.3558,103.81202,"[563630327, 563630325]",0.890311
1.3559,103.81203,"[563630328, 563630327]",0.567323
1.35603,103.81208,"[563630329, 563630328]",0.351699
1.35619,103.81219,"[563630331, 563630330]",1.648568
1.35619,103.81219,"[563630331, 563630330]",1.648568
1.35657,103.81258,"[978172529, 563630361]",1.144043
1.3567,103.81258,"[563630361, 563630362]",1.683916
1.35679,103.81258,"[563630362, 563630415]",1.24399
1.35686,103.81257,"[840055165, 563630415]",1.484294
1.35685,103.81244,"[5159344297, 563630415]",2.332569
1.35686,103.81226,"[563630418, 5159344297]",2.552783
1.35687,103.81217,"[563630418, 2689622641]",4.832062
1.35681,103.81203,"[2689622641, 563630333]",3.186022
1.35668,103.8117,"[563630333, 563630334]",5.797362
1.3566,103.81154,"[563630334, 563630335]",6.090452
1.35648,103.81138,"[563630335, 563630336]",4.676874
1.35639,103.81131,"[563630336, 5159344243]",4.596551
1.35626,103.81124,"[5159344243, 563630337]",4.425419
1.3562,103.81121,"[563630337, 563630323]",4.7298
1.3562,103.81121,"[563630337, 563630323]",4.7298
1.3557,103.811,"[563630323, 563630324]",1.392379
1.35513,103.81057,"[563630317, 563630319]",2.983775
1.35485,103.8102,"[563630320, 563630303]",2.925793
1.35475,103.81004,"[563630320, 563630303]",2.184404
1.3543,103.80926,"[563630306, 563630308]",1.933014
1.35396,103.80857,"[563630279, 563630280]",1.584909
1.35375,103.80814,"[563630282, 563630283]",1.263773
1.35335,103.80755,"[563630285, 563630286]",1.352554
1.35297,103.80701,"[563630266, 5568318699]",0.912117
1.35293,103.8069,"[563630266, 5568318699]",1.717221
1.35286,103.80639,"[5568318697, 563630267]",0.110568
1.35283,103.8063,"[563630267, 563630268]",0.0
1.35283,103.8063,"[563630267, 563630268]",0.0
1.3528,103.80623,"[563630268, 563630271]",0.39946
1.35268,103.80602,"[563630272, 563630256]",1.997299
1.3526,103.80594,"[661034409, 563630256]",2.562031
1.35265,103.8059,"[563630273, 563630256]",2.666913
1.3528,103.80582,"[563630277, 563630274]",0.351699
1.3531,103.80574,"[563630277, 563630274]",1.864469
1.3533,103.80567,"[563630258, 563630277]",1.406796
1.35366,103.8055,"[563630261, 563630260]",2.156356
1.35375,103.80545,"[563630262, 563630261]",0.710798
1.3539,103.80532,"[563630264, 563630263]",1.72565
1.35422,103.80492,"[563630292, 563630290]",0.784386
1.35442,103.80472,"[5159344290, 563630293]",0.351699
1.35451,103.80466,"[563630294, 5159344290]",2.147521
1.35476,103.8046,"[563630295, 563630294]",0.222578
1.35508,103.80459,"[563630297, 563630296]",4.831187
1.35529,103.80465,"[2689627073, 2689627072]",2.620537
1.35546,103.8047,"[4000247548, 4000247547]",0.890311
1.35553,103.80469,"[4000247548, 4000247547]",0.0
1.35561,103.80466,"[5159344271, 2689627076]",2.890745
1.35578,103.80455,"[563630299, 2689627077]",0.470632
1.35595,103.80438,"[563630300, 5159344270]",1.098141
